t	a
47.5	-38.2954
47.6	-41.1648
47.7	-40.3502
47.8	-36.7018
47.9	-40.8397
48	-38.2428
48.1	-39.7019
48.2	-35.7695
48.3	-40.0115
48.4	-38.8415
48.5	-42.6078
48.6	-39.5625
48.7	-40.6019
48.8	-41.0994
48.9	-43.3200
49	-42.1803
49.1	-42.6137
49.2	-39.1269
49.3	-40.3613
49.4	-41.0591
49.5	-42.1735
49.6	-36.6975
49.7	-39.7702
49.8	-39.9932
49.9	-40.7382
50	-41.8997
50.1	-42.7420
50.2	-40.7655
50.3	-41.5379
50.4	-43.4690
50.5	-39.4305
50.6	-39.8372
50.7	-43.4366
50.8	-38.9349
50.9	-42.0828
51	-40.4220
51.1	-41.1357
51.2	-38.9471
51.3	-45.4780
51.4	-46.1203
51.5	-45.3504
51.6	-45.9760
51.7	-44.3296
51.8	-45.3207
51.9	-44.0536
52	-45.1794
52.1	-43.4967
52.2	-44.6665
52.3	-44.5916
52.4	-43.3416
52.5	-41.0197
52.6	-42.3303
52.7	-41.4804
52.8	-46.2833
52.9	-43.1798
53	-42.9166
53.1	-41.7987
53.2	-44.8031
53.3	-42.0178
53.4	-43.2914
53.5	-45.7311
53.6	-43.7251
53.7	-46.8807
53.8	-44.5056
53.9	-43.5984
54	-46.4753
54.1	-44.9518
54.2	-46.7819
54.3	-44.9446
54.4	-43.4031
54.5	-47.5645
54.6	-48.6031
54.7	-46.4158
54.8	-45.6746
54.9	-42.0956
55	-43.7189
55.1	-46.2858
55.2	-43.2666
55.3	-45.3503
55.4	-42.4517
55.5	-42.4433
55.6	-40.9370
55.7	-47.8339
55.8	-41.9397
55.9	-43.9269
56	-43.6278
56.1	-41.6365
56.2	-40.8567
56.3	-45.0778
56.4	-45.8848
56.5	-42.6422
56.6	-45.9944
56.7	-42.2960
56.8	-44.3234
56.9	-42.3620
57	-44.9933
57.1	-42.0762
57.2	-43.8419
57.3	-41.8813
57.4	-44.1092
57.5	-41.4511
57.6	-39.7287
57.7	-45.2545
57.8	-38.3737
57.9	-43.4874
58	-40.3222
58.1	-37.8002
58.2	-42.0551
58.3	-43.1923
58.4	-42.2774
58.5	-38.9151
58.6	-38.8657
58.7	-43.4523
58.8	-39.5595
58.9	-41.8912
59	-39.1239
59.1	-41.0843
59.2	-38.6531
59.3	-44.4719
59.4	-40.6725
59.5	-40.9379
59.6	-37.8894
59.7	-36.8424
59.8	-40.2877
59.9	-41.8509
60	-41.0583
60.1	-41.1424
60.2	-36.6070
60.3	-37.9396
60.4	-35.6385
60.5	-38.8240
60.6	-36.8814
60.7	-39.3354
60.8	-36.6825
60.9	-37.8167
61	-39.5899
61.1	-32.9423
61.2	-39.9681
61.3	-37.0645
61.4	-38.3400
61.5	-36.8068
61.6	-34.0841
61.7	-35.1621
61.8	-32.5740
61.9	-36.9763
62	-34.0930
62.1	-35.8715
62.2	-33.0619
62.3	-31.6081
62.4	-32.1120
62.5	-31.8877
62.6	-27.7574
62.7	-32.1159
62.8	-29.9710
62.9	-31.5601
63	-33.8896
63.1	-30.8962
63.2	-30.5519
63.3	-30.4201
63.4	-28.9212
63.5	-31.7665
63.6	-29.5254
63.7	-30.6868
63.8	-28.7116
63.9	-32.1275
64	-28.1737
64.1	-29.0772
64.2	-28.6081
64.3	-27.5168
64.4	-28.7562
64.5	-26.2240
64.6	-28.0810
64.7	-24.0641
64.8	-26.4572
64.9	-25.7376
65	-25.5785
65.1	-25.5392
65.2	-23.7320
65.3	-25.2835
65.4	-21.6757
65.5	-22.4661
65.6	-25.5394
65.7	-25.0662
65.8	-23.1894
65.9	-21.9447
66	-21.7242
66.1	-22.5300
66.2	-20.6135
66.3	-23.3666
66.4	-20.9248
66.5	-18.9205
66.6	-18.1482
66.7	-19.1214
66.8	-19.5646
66.9	-17.1707
67	-21.7616
67.1	-17.1047
67.2	-19.8481
67.3	-14.5631
67.4	-20.0355
67.5	-14.2820
67.6	-14.2029
67.7	-16.6462
67.8	-11.8124
67.9	-21.1442
68	-16.0710
68.1	-17.0391
68.2	-15.7533
68.3	-13.3350
68.4	-12.2595
68.5	-9.5813
68.6	-11.7337
68.7	-12.6297
68.8	-12.0046
68.9	-12.3057
69	-9.5381
69.1	-9.6008
69.2	-12.1048
69.3	-7.1240
69.4	-9.2996
69.5	-5.1158
69.6	-11.8258
69.7	-9.6577
69.8	-11.8839
69.9	-6.7994
70	-6.8533
70.1	-5.3975
70.2	-6.1243
70.3	-8.1625
70.4	-7.4122
70.5	-6.0200
70.6	-4.9246
70.7	-4.0929
70.8	-3.6244
70.9	-2.0312
71	-2.2109
71.1	-4.2012
71.2	-5.9841
71.3	-5.2838
71.4	-3.2180
71.5	-0.2507
71.6	-3.8618
71.7	0.4869
71.8	-3.2619
71.9	-0.4966
72	0.6363
72.1	0.7800
72.2	0.5575
72.3	0.0770
72.4	0.8573
72.5	1.7283
72.6	1.4557
72.7	4.1641
72.8	0.1124
72.9	2.1460
73	4.0322
73.1	2.8666
73.2	1.5801
73.3	5.4586
73.4	6.9576
73.5	5.7891
73.6	5.1665
73.7	3.2192
73.8	5.4949
73.9	6.2410
74	14.2979
74.1	7.7943
74.2	6.7047
74.3	9.0734
74.4	8.8471
74.5	7.2879
74.6	6.4559
74.7	11.4284
74.8	10.3245
74.9	11.6519
75	9.3416
75.1	8.9752
75.2	13.0097
75.3	10.2512
75.4	12.9549
75.5	10.9311
75.6	9.9783
75.7	13.3730
75.8	13.2916
75.9	17.3811
76	13.8658
76.1	15.8824
76.2	16.0941
76.3	14.5056
76.4	15.3776
76.5	14.2638
76.6	12.7848
76.7	17.2256
76.8	14.1816
76.9	21.4904
77	19.0220
77.1	19.6166
77.2	14.5138
77.3	21.2385
77.4	19.8028
77.5	19.3370
77.6	18.8164
77.7	18.9468
77.8	18.1401
77.9	19.6852
78	21.3506
78.1	19.6498
78.2	19.9186
78.3	21.4997
78.4	24.4289
78.5	25.3897
78.6	20.8081
78.7	26.2032
78.8	22.0270
78.9	25.9919
79	21.6398
79.1	23.4789
79.2	27.4084
79.3	25.7533
79.4	24.1506
79.5	25.5790
79.6	26.1239
79.7	24.4117
79.8	29.8218
79.9	22.9696
80	29.5291
80.1	30.7823
80.2	29.7559
80.3	32.4636
80.4	31.6143
80.5	29.9483
80.6	31.9406
80.7	30.9239
80.8	24.8472
80.9	32.6562
81	29.8501
81.1	30.7619
81.2	31.1436
81.3	33.8852
81.4	29.3648
81.5	35.8793
81.6	30.8187
81.7	36.2479
81.8	34.9792
81.9	27.8927
82	33.5997
82.1	29.5985
82.2	30.6946
82.3	31.6423
82.4	33.6449
82.5	35.6137
82.6	32.9065
82.7	34.6758
82.8	30.3558
82.9	33.5846
83	38.4232
83.1	32.4476
83.2	37.3997
83.3	35.1572
83.4	36.5276
83.5	33.9294
83.6	34.8732
83.7	35.4619
83.8	36.4426
83.9	38.5128
84	39.3628
84.1	32.0890
84.2	37.5514
84.3	36.3613
84.4	37.8186
84.5	34.6388
84.6	37.6917
84.7	37.0887
84.8	40.8931
84.9	36.1177
85	41.4838
85.1	39.9116
85.2	36.4718
85.3	36.5932
85.4	38.5104
85.5	39.4762
85.6	37.3625
85.7	40.1045
85.8	36.0191
85.9	38.9587
86	36.9785
86.1	41.0777
86.2	38.4348
86.3	38.3039
86.4	43.0999
86.5	37.6445
86.6	42.7967
86.7	42.3682
86.8	38.7572
86.9	41.2312
87	40.0624
87.1	40.8476
87.2	40.5166
87.3	38.5824
87.4	42.5823
87.5	41.2283
87.6	40.1746
87.7	43.0698
87.8	40.3852
87.9	35.1425
88	40.9820
88.1	42.0570
88.2	41.4566
88.3	39.0920
88.4	43.4956
88.5	41.2594
88.6	43.1371
88.7	42.1955
88.8	39.9450
88.9	37.7600
89	42.5097
89.1	37.1075
89.2	42.3425
89.3	43.9903
89.4	42.4785
89.5	41.5160
89.6	41.4872
89.7	41.7792
89.8	40.9666
89.9	41.2798
90	43.9205
90.1	40.6221
90.2	41.5121
90.3	39.7662
90.4	42.2225
90.5	40.9060
90.6	43.1712
90.7	41.4519
90.8	42.4635
90.9	41.0698
91	39.8220
91.1	42.7041
91.2	44.8811
91.3	41.3798
91.4	41.8675
91.5	40.5401
91.6	42.6006
91.7	43.7788
91.8	42.8010
91.9	41.5299
92	39.1294
92.1	41.3821
92.2	39.7140
92.3	41.6517
92.4	39.2691
92.5	42.1175
92.6	37.1422
92.7	42.5837
92.8	39.4827
92.9	40.9632
93	43.9904
93.1	40.1643
93.2	37.9209
93.3	38.4754
93.4	38.4617
93.5	41.0478
93.6	41.0220
93.7	39.0853
93.8	44.7812
93.9	34.6823
94	39.9137
94.1	38.5245
94.2	38.8582
94.3	40.0777
94.4	35.7471
94.5	43.6514
94.6	40.4594
94.7	36.3791
94.8	34.0995
94.9	40.2497
95	39.2106
95.1	39.2880
95.2	34.4234
95.3	37.4627
95.4	37.1266
95.5	39.6084
95.6	36.0334
95.7	34.1897
95.8	33.4065
95.9	38.9661
96	34.6086
96.1	33.9326
96.2	36.4792
96.3	36.2161
96.4	34.1715
96.5	32.8229
96.6	31.9009
96.7	35.2714
96.8	39.0053
96.9	31.4316
97	33.1690
97.1	30.7876
97.2	33.7096
97.3	30.3894
97.4	27.9083
97.5	31.3038
97.6	32.5290
97.7	31.1302
97.8	32.6938
97.9	29.1455
98	31.7970
98.1	32.2125
98.2	33.0296
98.3	33.2655
98.4	29.5011
98.5	31.0376
98.6	33.0907
98.7	31.6542
98.8	28.7130
98.9	33.2002
99	24.4343
99.1	27.3492
99.2	28.0561
99.3	26.4317
99.4	27.4359
99.5	28.4561
99.6	22.4519
99.7	27.6097
99.8	26.3560
99.9	27.1307
100	25.4071
100.1	26.3919
100.2	26.1516
100.3	27.5913
100.4	23.4604
100.5	24.4953
100.6	20.9540
100.7	22.7602
100.8	24.4310
100.9	23.7905
101	22.5721
101.1	23.2821
101.2	25.2535
101.3	20.8411
101.4	17.3428
101.5	18.6519
101.6	25.0658
101.7	20.1956
101.8	18.7039
101.9	21.7508
102	23.3680
102.1	21.5426
102.2	20.1828
102.3	22.1723
102.4	18.5943
102.5	21.1192
102.6	18.6993
102.7	17.5005
102.8	18.7397
102.9	13.3141
103	15.7710
103.1	16.9304
103.2	16.9489
103.3	10.9330
103.4	15.6903
103.5	14.2604
103.6	11.7656
103.7	14.2012
103.8	15.8311
103.9	16.3163
104	13.2563
104.1	15.1831
104.2	10.9010
104.3	12.2837
104.4	12.3033
104.5	13.3230
104.6	7.4446
104.7	11.1572
104.8	13.8294
104.9	14.4646
105	8.7005
105.1	8.8689
105.2	8.7748
105.3	12.9609
105.4	9.1158
105.5	9.5273
105.6	11.2928
105.7	7.7335
105.8	4.7495
105.9	8.1735
106	7.0586
106.1	7.1801
106.2	5.1921
106.3	5.1978
106.4	6.2374
106.5	4.3876
106.6	6.6762
106.7	4.2810
106.8	2.8240
106.9	5.6472
107	3.7702
107.1	4.0492
107.2	0.0041
107.3	1.9259
107.4	2.2116
107.5	2.3436
107.6	1.5408
107.7	2.4367
107.8	5.9146
107.9	0.4067
108	3.6854
108.1	-5.2343
108.2	0.4278
108.3	-5.4812
108.4	-4.1769
108.5	-0.4680
108.6	-1.8680
108.7	-4.3555
108.8	0.2025
108.9	-0.6672
109	-5.1129
109.1	-3.1139
109.2	-3.3045
109.3	-4.8424
109.4	-9.1020
109.5	-6.5865
109.6	-6.9421
109.7	-6.9290
109.8	-7.7764
109.9	-6.5281
110	-9.6711
110.1	-8.3010
110.2	-5.0626
110.3	-6.6088
110.4	-8.4846
110.5	-9.1537
110.6	-9.8134
110.7	-9.0125
110.8	-12.5335
110.9	-9.8335
111	-13.8691
111.1	-10.6288
111.2	-12.6482
111.3	-12.4658
111.4	-12.4511
111.5	-12.5135
111.6	-11.5508
111.7	-16.0592
111.8	-8.8399
111.9	-13.5212
112	-13.1756
112.1	-11.5689
112.2	-15.2837
112.3	-14.2400
112.4	-14.9256
112.5	-17.1684
112.6	-14.3315
112.7	-11.8082
112.8	-16.6807
112.9	-18.5274
113	-16.9959
113.1	-19.8316
113.2	-18.1430
113.3	-15.8939
113.4	-17.4252
113.5	-15.4211
113.6	-17.5641
113.7	-18.0309
113.8	-20.2040
113.9	-15.9063
114	-20.0317
114.1	-21.1404
114.2	-21.9171
114.3	-23.2274
114.4	-21.3973
114.5	-22.2686
114.6	-20.3250
114.7	-20.8311
114.8	-21.9807
114.9	-21.2524
115	-23.8824
115.1	-22.7773
115.2	-21.1068
115.3	-23.0731
115.4	-26.6589
115.5	-27.6113
115.6	-24.8797
115.7	-25.6110
115.8	-25.9796
115.9	-23.4051
116	-24.8488
116.1	-24.2451
116.2	-28.1360
116.3	-25.3427
116.4	-25.7513
116.5	-25.4625
116.6	-29.3903
116.7	-29.7031
116.8	-28.2929
116.9	-23.7802
117	-27.7613
117.1	-31.3736
117.2	-24.0770
117.3	-25.6220
117.4	-28.5485
117.5	-32.4502
117.6	-29.6848
117.7	-26.8248
117.8	-33.5066
117.9	-26.0327
118	-30.7317
118.1	-30.0843
118.2	-31.2572
118.3	-33.2139
118.4	-31.0113
118.5	-31.2529
118.6	-31.3694
118.7	-32.4311
118.8	-30.7941
118.9	-30.1765
119	-37.4897
119.1	-32.9264
119.2	-33.4451
119.3	-31.7012
119.4	-35.4873
119.5	-32.8099
119.6	-33.4634
119.7	-32.3990
119.8	-32.6721
119.9	-30.7261
120	-32.5920
120.1	-37.4061
120.2	-36.5082
120.3	-32.0323
120.4	-32.6643
120.5	-34.7902
120.6	-31.4586
120.7	-36.3549
120.8	-34.1154
120.9	-36.6042
121	-34.6637
121.1	-35.0877
121.2	-38.0282
121.3	-35.6052
121.4	-36.2638
121.5	-37.4535
121.6	-35.9833
121.7	-37.5156
121.8	-37.7965
121.9	-37.2803
122	-37.5344
122.1	-41.8709
122.2	-40.8323
122.3	-41.1513
122.4	-41.0731
122.5	-36.0100
122.6	-34.3563
122.7	-37.2054
122.8	-35.5800
122.9	-37.8181
123	-32.7541
123.1	-39.7930
123.2	-36.3704
123.3	-39.3513
123.4	-36.7482
123.5	-37.8655
123.6	-37.9243
123.7	-38.1528
123.8	-38.8753
123.9	-40.0723
124	-38.7257
124.1	-38.0495
124.2	-38.0416
124.3	-42.5126
124.4	-35.6115
124.5	-37.0219
124.6	-41.1129
124.7	-34.9547
124.8	-39.3229
124.9	-41.8504
125	-40.7822
125.1	-39.5787
125.2	-34.7632
125.3	-39.8694
125.4	-40.2318
125.5	-41.4325
125.6	-37.5346
125.7	-40.3784
125.8	-38.4762
125.9	-36.8809
126	-39.3065
126.1	-39.1610
126.2	-39.6033
126.3	-37.4039
126.4	-39.3171
126.5	-40.5219
126.6	-40.0326
126.7	-36.6934
126.8	-38.3967
126.9	-37.3311
127	-40.7487
127.1	-38.9354
127.2	-41.3966
127.3	-39.3265
127.4	-39.8384
127.5	-39.7908
127.6	-40.0310
127.7	-39.3757
127.8	-38.3230
127.9	-39.8457
128	-34.9617
128.1	-35.7441
128.2	-36.9533
128.3	-37.8104
128.4	-37.4717
128.5	-38.3335
128.6	-36.9556
128.7	-37.5682
128.8	-38.4319
128.9	-36.7972
129	-38.4542
129.1	-40.8951
129.2	-38.1115
129.3	-33.9817
129.4	-38.3101
129.5	-37.3085
129.6	-37.6490
129.7	-32.9738
129.8	-34.1583
129.9	-38.3323
130	-38.3581
130.1	-33.4498
130.2	-36.0155
130.3	-36.9964
130.4	-37.3640
130.5	-34.7416
130.6	-37.5804
130.7	-32.5762
130.8	-35.4989
130.9	-35.5817
131	-34.7304
131.1	-34.6297
131.2	-34.5082
131.3	-35.6539
131.4	-33.7756
131.5	-33.7622
131.6	-34.7026
131.7	-32.7610
131.8	-34.1358
131.9	-33.7732
132	-30.1687
132.1	-30.8342
132.2	-31.2560
132.3	-26.8627
132.4	-34.6555
132.5	-32.0669
132.6	-31.5881
132.7	-33.0010
132.8	-32.1066
132.9	-28.3392
133	-30.3766
133.1	-34.0832
133.2	-30.9397
133.3	-31.4431
133.4	-29.3438
133.5	-34.0919
133.6	-28.3240
133.7	-29.7828
133.8	-29.2519
133.9	-30.1510
134	-24.1983
134.1	-28.9625
134.2	-29.5807
134.3	-26.8315
134.4	-26.2699
134.5	-30.6355
134.6	-28.8914
134.7	-29.1261
134.8	-27.6469
134.9	-28.7795
135	-29.9841
135.1	-27.6052
135.2	-28.6007
135.3	-23.1646
135.4	-26.9218
135.5	-24.0329
135.6	-25.0836
135.7	-25.5607
135.8	-26.1359
135.9	-27.1437
136	-26.5882
136.1	-25.9317
136.2	-22.9381
136.3	-26.8316
136.4	-24.1707
136.5	-20.7705
136.6	-21.8262
136.7	-22.6203
136.8	-20.7578
136.9	-22.6223
137	-20.8367
137.1	-23.2316
137.2	-21.0066
137.3	-19.1745
137.4	-19.2254
137.5	-19.6185
137.6	-16.7032
137.7	-18.3134
137.8	-19.7326
137.9	-13.4857
138	-19.9624
138.1	-21.3023
138.2	-16.0604
138.3	-19.8095
138.4	-15.6126
138.5	-16.5269
138.6	-17.1599
138.7	-16.5811
138.8	-18.2727
138.9	-19.7735
139	-15.4560
139.1	-16.7188
139.2	-14.8570
139.3	-18.6848
139.4	-11.7382
139.5	-14.8710
139.6	-16.1620
139.7	-13.0684
139.8	-16.2421
139.9	-15.9447
140	-14.3297
140.1	-12.0185
140.2	-11.2514
140.3	-7.6197
140.4	-12.1112
140.5	-10.4249
140.6	-13.7611
140.7	-9.7895
140.8	-13.2353
140.9	-11.6265
141	-10.2268
141.1	-8.7805
141.2	-7.9426
141.3	-7.5514
141.4	-7.1850
141.5	-9.5269
141.6	-4.6438
141.7	-8.4706
141.8	-10.4960
141.9	-5.4712
142	-4.8543
142.1	-6.3334
142.2	-4.9036
142.3	-7.2394
142.4	-6.1426
142.5	-4.8287
142.6	-5.9839
142.7	-1.6368
142.8	-2.1428
142.9	-5.4134
143	-0.5866
143.1	-3.7200
143.2	-1.9991
143.3	-2.2009
143.4	-0.0218
143.5	-3.0220
143.6	-2.6873
143.7	-1.9428
143.8	-3.6835
143.9	-3.2065
144	0.0453
144.1	1.8703
144.2	-2.0899
144.3	2.4208
144.4	-0.4166
144.5	4.7345
144.6	-0.2662
144.7	6.0897
144.8	5.8794
144.9	0.4424
145	4.6897
145.1	3.8678
145.2	4.8792
145.3	2.3021
145.4	1.8575
145.5	3.1591
145.6	7.8831
145.7	4.4330
145.8	7.8103
145.9	5.6777
146	6.7328
146.1	7.1660
146.2	7.0178
146.3	6.8901
146.4	8.4865
146.5	5.1729
146.6	9.2257
146.7	7.3177
146.8	6.8848
146.9	8.7553
147	10.9644
147.1	9.6011
147.2	10.4721
147.3	8.7645
147.4	9.8940
147.5	12.3057
147.6	11.4272
147.7	14.8514
147.8	9.9893
147.9	10.3017
148	14.1514
148.1	13.5144
148.2	16.1992
148.3	12.2707
148.4	14.3060
148.5	12.7083
148.6	13.8141
148.7	18.4654
148.8	15.6352
148.9	16.3633
149	15.7793
149.1	16.3486
149.2	17.6929
149.3	12.6502
149.4	16.8593
149.5	17.0994
149.6	15.1869
149.7	14.2379
149.8	15.6693
149.9	17.1202
150	19.9609
150.1	20.2700
150.2	18.4769
150.3	16.6209
150.4	22.2772
150.5	19.1026
150.6	22.3683
150.7	23.5038
